Time,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11
0.000000,61.615261,50.030080,47.841234,44.481216,26.720348,55.504390,46.800000,82.000000,53.700000,57.000000
1.000000,61.628730,50.030080,47.911411,46.870381,27.332255,55.642116,46.073915,87.878439,53.785290,57.312400
2.000000,61.611790,50.030080,48.000393,47.359963,28.018456,56.114474,46.112834,81.345498,53.558048,57.229328
3.000000,61.625232,50.030080,48.092842,47.828232,28.667840,56.657404,46.684110,78.671432,53.381747,57.100665
4.000000,61.604342,50.030080,48.154905,48.020134,29.296812,56.803484,47.237159,77.465064,53.178518,56.838069
5.000000,61.591504,50.030080,48.215083,47.494244,29.935617,57.230922,47.460802,73.493345,52.756423,56.603075
6.000000,61.594016,50.030080,48.317001,48.509898,30.583261,57.524232,47.532707,75.442051,52.124662,56.262744
7.000000,61.608217,50.030080,48.369645,47.783022,31.197872,57.698607,47.669531,74.343638,51.623258,55.909237
8.000000,61.606007,50.030080,48.459662,48.406944,31.820117,58.172898,47.798872,74.244635,50.693048,55.452847
9.000000,61.576703,50.030080,48.529583,48.716931,32.424344,58.248574,48.109433,72.269081,49.837649,54.990787
10.000000,61.597291,50.030080,48.591705,48.384707,33.027655,58.558170,48.396934,68.180010,48.897735,54.410057
11.000000,61.593129,50.030080,48.652652,48.639695,33.596688,58.542471,48.568275,69.648119,47.454111,53.835688
12.000000,61.586940,50.030080,48.725399,47.695272,34.250537,59.018655,48.688191,68.344642,46.066477,53.216471
13.000000,61.577673,50.030080,48.807217,48.878801,34.860690,59.123759,48.834656,66.686502,44.351499,52.475046
14.000000,61.607414,50.030080,48.884937,48.712682,35.451314,59.371689,48.957657,66.963172,42.476011,51.769147
15.000000,61.582714,50.030080,48.934464,49.166722,36.014255,59.255224,49.188016,68.887073,40.439733,50.960528
16.000000,61.578122,50.030080,49.013514,49.436894,36.601089,59.519936,49.414972,70.622015,38.080760,50.157070
17.000000,61.592304,50.030080,49.065552,48.939008,37.177328,59.616709,49.541514,65.803928,35.504425,49.309345
18.000000,61.589236,50.030080,49.147009,49.191024,37.771912,59.964403,49.718807,65.601417,32.404653,48.463885
19.000000,61.585696,50.030080,49.214039,48.981808,38.427447,60.167409,49.941029,66.042998,29.654244,47.535490
20.000000,61.606030,50.030080,49.277198,49.259901,39.027113,60.178131,50.140929,66.357743,26.189225,46.569448
21.000000,61.575940,50.030080,49.358630,49.728335,39.652554,60.417366,50.296924,64.542651,22.410805,45.591692
22.000000,61.595510,50.030080,49.408846,50.369804,40.240851,60.137581,50.475219,65.409226,18.718670,44.624554
23.000000,61.603451,50.030080,49.467128,49.342635,40.859243,60.380114,50.746084,65.209295,14.909785,43.587426
24.000000,61.603695,50.030080,49.536960,50.212443,41.461897,60.436838,50.881371,63.383163,10.625088,42.526792
25.000000,61.593729,50.030080,49.608432,50.373729,42.080953,60.616958,51.126683,67.879657,6.409117,41.512397
26.000000,61.591529,50.030080,49.668667,50.403385,42.705590,60.619124,51.265473,64.254974,5.000000,40.427919
27.000000,61.583297,50.030080,49.734114,50.143105,43.357763,60.800621,51.509164,64.794469,5.000000,39.371646
28.000000,61.600058,50.030080,49.804485,50.240205,44.046751,60.973025,51.782226,63.902340,5.000000,38.324461
29.000000,61.586740,50.030080,49.890146,50.325763,44.786109,61.358994,51.982581,64.520910,5.000000,37.293461
30.000000,61.583816,50.030080,49.943487,50.969079,45.463580,61.149503,52.181744,66.910756,5.000000,36.220953
31.000000,61.580694,50.030080,50.020033,51.075325,46.196414,61.350028,52.429958,62.887769,5.000000,35.162757
32.000000,61.592998,50.030080,50.080144,50.809488,46.952123,61.546526,52.699492,61.231046,5.000000,34.128835
33.000000,61.599410,50.030080,50.119993,50.447214,47.689940,61.264955,52.933358,61.596380,5.000000,33.040270
34.000000,61.589461,50.030080,50.212169,51.348010,48.484199,61.644542,53.162151,64.799715,5.000000,32.053813
35.000000,61.595447,50.030080,50.272084,51.628715,49.250491,61.521388,53.338308,63.765010,5.000000,31.062950
36.000000,61.591534,50.030080,50.347204,51.467600,50.088473,61.783692,53.512693,63.109572,5.000000,30.086746
37.000000,61.582394,50.030080,50.394207,51.724031,50.880763,61.520266,53.780743,64.256555,5.000000,29.184709
38.000000,61.585655,50.030080,50.464603,51.396917,51.740279,61.902124,54.083052,60.092630,5.000000,28.219188
39.000000,61.600550,50.030080,50.542453,52.056367,52.622582,61.931413,54.313995,60.883969,5.000000,27.350826
40.000000,61.583909,50.030080,50.615120,52.178395,53.540449,62.090729,54.522887,60.552500,5.000000,26.495514
41.000000,61.602716,50.030080,50.672314,51.851174,54.481347,62.250008,54.796866,59.332931,5.000000,25.695625
42.000000,61.588977,50.030080,50.722858,51.791428,55.438985,62.253754,54.975582,62.968980,5.000000,24.878213
43.000000,61.604301,50.030080,50.818306,52.834298,56.424952,62.302583,55.189375,61.419793,5.000000,24.224102
44.000000,61.599846,50.030080,50.860776,52.607807,57.409664,62.161386,55.404427,57.712087,5.000000,23.510051
45.000000,61.602137,50.030080,50.920055,52.337640,58.423959,62.353060,55.634512,58.453972,5.000000,22.823774
46.000000,61.588803,50.030080,50.998271,53.103113,59.470336,62.410458,55.848008,60.033192,5.000000,22.261862
47.000000,61.601688,50.030080,51.035283,52.136292,60.555144,62.414221,56.022753,59.407701,5.000000,21.681232
48.000000,61.599642,50.030080,51.134059,53.679657,61.634835,62.434768,56.258060,57.325134,5.000000,21.184411
49.000000,61.594755,50.030080,51.183105,52.760381,62.763964,62.688920,56.540722,60.411664,5.000000,20.707124
50.000000,61.589190,50.030080,51.232560,52.643264,63.907780,62.544440,56.705958,59.307125,5.000000,20.342201
51.000000,61.600810,50.030080,51.287671,52.982572,65.106435,62.597739,56.876829,58.222525,5.000000,19.886683
52.000000,61.616132,50.030080,51.348337,52.550134,66.307249,62.631656,57.092127,59.961121,5.000000,19.561272
53.000000,61.593964,50.030080,51.422982,53.449963,67.548253,62.838609,57.353348,58.383493,5.000000,19.260751
54.000000,61.598745,50.030080,51.503245,54.136140,68.827011,62.923219,57.586131,56.706770,5.000000,19.000997
55.000000,61.592141,50.030080,51.558919,54.158374,70.088687,62.829434,57.739206,60.167167,5.000000,18.713808
56.000000,61.594500,50.030080,51.599132,53.594332,71.397732,62.868499,57.920177,60.059036,5.000000,18.532951
57.000000,61.597453,50.030080,51.664158,54.377981,72.723734,62.769296,58.124324,55.923741,5.000000,18.300989
58.000000,61.576454,50.030080,51.721864,53.470827,74.114959,62.957095,58.299708,56.071634,5.000000,18.130389
59.000000,61.590026,50.030080,51.794927,54.370633,75.527746,63.101200,58.393495,54.276237,5.000000,17.949012
