Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
0.0,101031.574929,74.133769,27.991025,24.89582,615.443171,973.418111,1250.739401,245.33544200000006,529.706496,749.024524,2421.014879,9900.0,4231.766977,53790.670746,53238.255777,178.15726,2924.918573,26507.273544,4001.841241,710.695142,1629.831294,235.239065,290.697791,191.096932
1.0,101654.760292,74.081396,28.026554,24.897699,615.71338,972.067884,1251.492545,245.22038960000006,529.718526,749.064702,2421.577464,9900.0,4225.297444,52907.756577,52881.85125,177.883456,2881.940462,27099.060343,4076.477823,711.478426,1639.654472,233.649403,290.61619,195.032709
2.0,101684.433146,73.994284,27.987936,24.867307,615.814723,971.878886,1252.249294,245.3530838,529.734138,749.116821,2422.037291,9900.0,4233.419125,52675.197417,52806.72116,178.204641,2864.694416,27234.869755,4077.994679,711.392847,1636.228881,231.666404,290.718387,196.049226
3.0,101297.044361,73.918356,27.99898,24.917863,615.914361,971.626641,1253.005657,245.50029140000007,529.753757,749.166726,2422.764629,9900.0,4230.785265,52392.920987,52624.941521,178.097759,2882.083019,27336.52629,4073.910313,711.251892,1635.931782,229.491792,290.686042,196.845764
4.0,101007.913277,73.834232,27.9942,24.889579,615.946795,971.584958,1253.792301,245.53496120000003,529.776105,749.233436,2423.874884,9900.0,4231.559447,52214.217189,52426.245882,178.135073,2901.533532,27382.717804,4015.397255,709.077089,1634.877847,227.144722,290.695628,197.281924
5.0,100715.279782,73.781256,27.988946,24.872779,615.967493,971.519607,1254.606718,245.51343320000004,529.802737,749.318739,2423.688589,9900.0,4232.426552,52022.347215,52234.748312,178.176015,2902.603469,27406.549826,4011.865339,710.881448,1634.803523,224.668327,290.706305,197.557743
6.0,100326.72669,73.731265,27.985999,24.891099,615.992859,971.468499,1255.432703,245.52923000000007,529.834438,749.419768,2423.651875,9900.0,4232.688205,51842.580247,52079.289915,178.189779,2905.667033,27420.968479,4021.083933,709.256308,1634.341851,222.133724,290.709525,197.757514
7.0,99889.450512,73.674276,28.024248,24.927732,615.990749,971.231675,1256.269545,245.55172820000004,529.871054,749.528858,2423.985983,9900.0,4224.385583,51551.470999,51790.013649,177.862137,2901.541265,27433.68611,3916.121321,707.11713,1634.196239,219.672178,290.604471,197.937033
8.0,99566.003262,73.702394,28.017473,24.909873,615.996788,971.241844,1257.130882,245.60250980000004,529.912287,749.639209,2423.648238,9900.0,4225.539367,51396.053891,51611.280176,177.91457,2904.508156,27436.236747,4073.106329,706.361055,1634.372494,217.261828,290.619463,198.041954
9.0,99201.624024,73.612017,27.970061,24.919654,615.997501,971.43116,1258.00575,245.64128360000007,529.959376,749.754038,2423.408698,9900.0,4235.007599,51352.318068,51588.826788,178.295925,2912.98331,27445.861233,3983.081356,704.043478,1633.924298,214.866377,290.737652,198.188213
10.0,98942.243542,73.586208,28.017183,24.887684,616.006129,971.123727,1258.916182,245.65531280000005,530.012673,749.873509,2424.173811,9900.0,4225.136023,51001.907116,51194.59891,177.9108,2920.19762,27451.045434,3971.396753,704.733043,1633.867356,212.551482,290.614223,198.298243
11.0,98667.331443,73.56612,27.994571,24.875299,615.997119,971.188509,1259.840452,245.66207540000008,530.072634,749.998527,2423.372839,9900.0,4229.61959,50879.079338,51084.508133,178.094118,2917.143991,27455.079883,3979.551108,703.11734,1633.305633,210.288446,290.671473,198.393112
12.0,98212.514158,73.544782,27.99957,24.929892,616.004178,971.108239,1260.763157,245.70021200000005,530.1395,750.129294,2424.302743,9900.0,4228.160712,50676.782887,50926.484203,178.036665,2919.43738,27459.228607,3979.067178,700.541027,1633.191995,208.166532,290.653086,198.482374
