Time,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11
0.000000,59.742806,53.838829,47.118988,44.188154,25.769646,46.422011,46.800000,82.000000,53.700000,57.000000
1.000000,59.751423,54.070712,47.055735,49.039191,25.680131,46.422011,46.000137,81.422280,54.046297,57.610524
2.000000,59.755638,55.480067,47.054739,49.674957,25.615637,46.422011,46.260509,76.235336,54.359473,57.893949
3.000000,59.728478,57.128379,47.066812,50.544716,25.568864,46.422011,47.285908,71.164014,54.677676,58.333076
4.000000,59.739097,58.762462,47.080656,50.638165,25.586034,46.422011,48.225294,67.119364,55.038826,58.788709
5.000000,59.720382,60.357448,47.087185,50.404005,25.631356,46.422011,48.604950,62.635163,55.567154,59.418833
6.000000,59.704629,61.981481,47.098090,50.542923,25.721649,46.422011,48.644618,59.132032,56.427703,59.963137
7.000000,59.703638,63.566671,47.102375,50.232839,25.885228,46.422011,48.957521,57.176875,57.128842,60.656342
8.000000,59.692983,65.159698,47.120662,50.448328,26.037055,46.422011,49.313820,52.646159,58.060486,61.396601
9.000000,59.711420,66.685080,47.119089,49.554376,26.257227,46.422011,49.572971,57.619350,59.489255,62.166025
10.000000,59.718965,68.302444,47.130194,50.140226,26.501458,46.422011,49.687278,58.476556,60.708685,62.993901
11.000000,59.695416,69.869491,47.142048,49.777223,26.812041,46.422011,49.822217,51.723544,62.447142,63.805190
12.000000,59.708996,71.418168,47.145545,49.361964,27.127668,46.422011,49.917904,54.250860,63.988317,64.737221
13.000000,59.715141,72.960567,47.157801,49.370938,27.489684,46.422011,50.050747,53.478112,65.970909,65.679054
14.000000,59.709491,74.739902,47.181110,50.062325,27.787580,46.422011,50.080710,51.087826,68.117952,66.578565
15.000000,59.716573,76.386484,47.188667,49.218478,28.099228,46.422011,50.058510,50.086096,70.274474,67.556937
16.000000,59.719859,78.056085,47.212888,49.089441,28.395924,46.422011,49.877127,55.847782,72.911049,68.522755
17.000000,59.710796,79.736775,47.221256,48.524877,28.691082,46.422011,49.834194,52.876702,75.397728,69.483852
18.000000,59.696313,81.462265,47.245372,48.720133,28.968536,46.422011,49.959038,53.632791,78.166912,70.488173
19.000000,59.702888,83.242182,47.259986,49.035464,29.238074,46.422011,49.904515,51.569983,81.089628,71.534165
20.000000,59.718160,84.937644,47.281083,48.413052,29.498948,46.422011,49.722766,53.156318,83.949858,72.578452
21.000000,59.710173,86.747211,47.305981,49.229542,29.711172,46.422011,49.466258,51.282666,87.044144,73.620307
22.000000,59.713378,88.462328,47.311012,48.518052,29.945275,46.422011,49.396089,49.649350,90.124085,74.579385
23.000000,59.718559,90.250536,47.337268,48.929270,30.142448,46.422011,49.347963,50.328484,93.410126,75.629581
24.000000,59.694590,91.943562,47.346855,48.266194,30.358649,46.422011,49.197644,51.491951,95.000000,76.641717
25.000000,59.697287,93.715165,47.359721,48.405370,30.548625,46.422011,48.908386,51.828513,95.000000,77.681497
26.000000,59.692918,95.000000,47.382081,48.179409,30.737570,46.422011,48.775336,53.682980,95.000000,78.739804
27.000000,59.689850,95.000000,47.388619,48.326575,30.894827,46.422011,48.567840,50.182150,95.000000,79.763232
28.000000,59.728757,95.000000,47.397298,48.194138,31.064483,46.422011,48.262110,50.886934,95.000000,80.788699
29.000000,59.688968,95.000000,47.403928,47.700488,31.215066,46.422011,48.166566,51.101511,95.000000,81.816664
30.000000,59.690327,95.000000,47.420209,48.015619,31.345348,46.422011,48.006839,52.452137,95.000000,82.825886
31.000000,59.723706,95.000000,47.430557,48.340727,31.454538,46.422011,47.704782,52.255285,95.000000,83.836297
32.000000,59.713640,95.000000,47.429616,47.696584,31.561785,46.422011,47.551004,55.077587,95.000000,84.830150
33.000000,59.693049,95.000000,47.449554,47.852796,31.666179,46.422011,47.446215,51.013308,95.000000,85.814073
34.000000,59.707145,95.000000,47.446806,47.413790,31.755899,46.422011,47.189089,54.576699,95.000000,86.787008
35.000000,59.727094,95.000000,47.455311,47.214759,31.849631,46.422011,47.009612,53.961069,95.000000,87.719033
36.000000,59.711154,95.000000,47.470792,47.471400,31.923282,46.422011,46.690175,52.996426,95.000000,88.694048
37.000000,59.717341,95.000000,47.477789,47.634918,31.977640,46.422011,46.478944,52.255974,95.000000,89.570284
38.000000,59.707833,95.000000,47.485287,47.369293,32.060512,46.422011,46.392264,55.730631,95.000000,90.475125
39.000000,59.704020,95.000000,47.496360,47.533096,32.101879,46.422011,46.211984,57.500584,95.000000,91.410639
40.000000,59.711876,95.000000,47.502036,47.461263,32.156275,46.422011,45.900416,55.176823,95.000000,92.267367
41.000000,59.683299,95.000000,47.508021,47.053483,32.202971,46.422011,45.849953,56.094727,95.000000,93.144279
42.000000,59.710357,95.000000,47.523754,47.546395,32.229289,46.422011,45.670686,53.443654,95.000000,93.989642
43.000000,59.705446,95.000000,47.521348,47.014180,32.290864,46.422011,45.448188,54.559268,95.000000,94.799064
44.000000,59.698881,95.000000,47.528851,46.570733,32.335936,46.422011,45.286232,53.794959,95.000000,95.000000
45.000000,59.714923,95.000000,47.545473,46.805133,32.386703,46.422011,45.134260,57.322125,95.000000,95.000000
46.000000,59.691666,95.000000,47.542489,46.869508,32.419199,46.422011,45.007473,55.884984,95.000000,95.000000
47.000000,59.707837,95.000000,47.555394,46.925851,32.476022,46.422011,44.789272,60.123895,95.000000,95.000000
48.000000,59.703217,95.000000,47.569557,47.247686,32.483635,46.422011,44.685725,59.626588,95.000000,95.000000
49.000000,59.693202,95.000000,47.566438,46.576270,32.518418,46.422011,44.444824,58.548438,95.000000,95.000000
50.000000,59.706435,95.000000,47.575594,46.721999,32.556667,46.422011,44.367550,57.370771,95.000000,95.000000
51.000000,59.708187,95.000000,47.589029,46.494590,32.588370,46.422011,44.230232,57.479967,95.000000,95.000000
52.000000,59.699047,95.000000,47.603027,46.791843,32.616766,46.422011,44.162556,58.289415,95.000000,95.000000
53.000000,59.719434,95.000000,47.600596,46.133892,32.667694,46.422011,44.009133,55.616731,95.000000,95.000000
54.000000,59.709499,95.000000,47.616077,46.509457,32.684277,46.422011,43.873617,58.902284,95.000000,95.000000
55.000000,59.690881,95.000000,47.618243,46.597475,32.727539,46.422011,43.807250,54.998144,95.000000,95.000000
56.000000,59.709750,95.000000,47.633976,46.660005,32.734040,46.422011,43.674168,60.497879,95.000000,95.000000
57.000000,59.695134,95.000000,47.634371,46.555694,32.769314,46.422011,43.434951,57.654877,95.000000,95.000000
