Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
0.0,98316.3075,73.386242,28.041577,24.910367,615.468442,967.972803,1249.888894,245.32860020000004,529.706496,749.024524,2423.780913,9900.0,3831.395933,50784.007047,50777.823683,164.071211,2907.480584,26507.273529,3977.982777,710.707963,1629.880037,236.827573,282.433139,191.096932
1.0,98660.511017,72.481351,27.975712,24.864215,615.686377,968.553052,1249.784468,245.53771160000005,529.70749,749.002847,2422.098807,9900.0,3856.273878,51118.596101,51085.164504,165.006489,2664.179348,31518.251397,3912.716664,711.546478,1640.115959,237.535697,283.523618,223.532222
2.0,98689.954557,71.76741,27.981611,24.922428,615.826694,968.61213,1249.670584,246.74342900000008,529.705836,748.97274,2424.126272,9900.0,3863.691791,51181.828638,51225.415931,165.249611,2652.712061,32610.080946,3682.549808,712.975676,1637.642115,238.470542,283.838906,231.600859
3.0,98775.039144,71.248702,28.001978,24.921679,615.906025,968.607938,1249.568203,247.57231640000003,529.69958,748.908586,2424.59642,9900.0,3866.785063,51186.19383,51216.805343,165.334804,2647.844638,33111.310459,3575.063808,711.650835,1637.844404,239.587882,283.969392,236.111626
4.0,98969.696987,70.836964,28.016292,24.88788,615.960328,968.626677,1249.486022,248.22953420000002,529.688812,748.842201,2425.564004,9900.0,3871.255901,51198.828975,51198.914141,165.477512,2646.059646,33274.298255,3489.631118,712.553544,1638.480994,240.80971,284.156837,238.513325
5.0,99049.32019,70.517119,28.040887,24.906856,615.983386,968.552343,1249.406106,248.79777620000004,529.674163,748.776802,2425.579926,9900.0,3873.335457,51173.656698,51198.611168,165.521258,2646.711391,33323.04099,3296.434783,714.008655,1638.223539,242.156317,284.24328,240.114199
6.0,99202.22734,70.367343,28.00021,24.890801,615.985413,968.919618,1249.330348,249.31427900000006,529.654404,748.70707,2424.977625,9900.0,3889.560145,51404.585353,51423.920766,166.125923,2652.765616,33306.02151,3284.726549,714.712139,1638.970342,243.475013,284.906596,241.20403
7.0,99212.219987,70.248498,28.016289,24.929144,615.971517,968.898058,1249.256585,249.78705980000004,529.630793,748.640422,2424.821571,9900.0,3894.335954,51415.197559,51466.488369,166.270586,2659.027741,33266.697028,3307.277396,714.355558,1639.707023,244.810948,285.097719,242.044558
8.0,99354.738839,70.133155,28.029002,24.892225,616.008498,968.904196,1249.201861,250.23838280000007,529.603113,748.569312,2425.936615,9900.0,3897.550798,51415.874831,51431.706653,166.371555,2664.53661,33202.31663,3144.483703,715.225729,1638.960753,246.106467,285.225768,242.627174
9.0,99499.832295,70.155854,28.030302,24.872677,616.014808,968.92547,1249.161384,250.6823762000001,529.573711,748.500651,2425.341874,9900.0,3902.821059,51433.993958,51444.554309,166.554797,2674.466241,33140.262,3225.900049,716.842204,1639.478805,247.333681,285.433597,243.122544
10.0,99548.765772,70.132949,27.98854,24.895411,616.006234,969.268569,1249.11732,251.11002740000004,529.544389,748.43669,2424.905559,9900.0,3919.984927,51657.658229,51702.652572,167.190117,2681.891318,33074.905037,3212.980055,717.474057,1639.851889,248.422766,286.093921,243.51267
11.0,99401.490125,70.133518,28.038032,24.959566,616.010457,969.024855,1249.068606,251.53995200000008,529.517145,748.374779,2425.303628,9900.0,3915.209925,51531.19472,51616.304875,166.966488,2689.487501,33007.284511,3161.930677,717.271735,1639.881596,249.526345,285.912398,243.803081
12.0,99557.877387,70.182399,27.991631,24.9028,615.991305,969.403986,1249.044063,251.9719808,529.492546,748.305875,2425.497542,9900.0,3930.774813,51746.852653,51766.690089,167.56034,2698.308493,32931.507163,3231.902298,716.204829,1640.336812,250.456494,286.497096,243.968315
13.0,99596.793801,70.18968,27.981004,24.906801,616.007994,969.453493,1249.028031,252.4029062000001,529.475322,748.24471,2425.407044,9900.0,3937.525606,51784.247984,51827.086693,167.805207,2704.944327,32876.273419,3276.012475,716.275854,1640.477323,251.227588,286.744416,244.188157
14.0,99693.337763,70.174125,27.988463,24.876286,615.995337,969.408129,1249.033934,252.841838,529.46734,748.187774,2425.123966,9900.0,3940.339463,51751.292594,51770.777486,167.898646,2710.171753,32816.932958,3192.295777,714.86384,1640.777018,251.837253,286.846748,244.320593
15.0,99656.82548,70.227965,27.993132,24.896529,616.000122,969.371343,1249.04075,253.290299,529.471186,748.138406,2424.916081,9900.0,3943.037517,51735.202777,51784.131885,167.985522,2717.582615,32762.635917,3312.827728,713.815439,1641.131915,252.340608,286.943917,244.426703
16.0,99535.089949,70.201742,28.032455,24.933477,615.987155,969.157001,1249.047368,253.7371400000001,529.488105,748.092521,2425.39329,9900.0,3937.328567,51610.418538,51672.477392,167.743759,2721.424741,32702.626746,3394.555692,710.898017,1640.705921,252.850317,286.737768,244.44595
17.0,99661.227009,70.124464,28.05811,24.866167,616.004285,969.02969,1249.081299,254.19545600000006,529.518676,748.045094,2425.160671,9900.0,3932.56498,51507.35157,51497.185993,167.558787,2722.881743,32635.777032,3347.086831,707.956736,1641.402599,253.320245,286.564245,244.373436
18.0,99675.846385,70.090305,27.993842,24.889779,615.984517,969.459222,1249.104656,254.66779940000004,529.565881,748.004816,2425.350428,9900.0,3950.640362,51773.802227,51805.156375,168.249945,2725.627602,32580.435243,3257.746448,704.375273,1640.85483,253.660737,287.214765,244.32949
19.0,99620.437692,70.127409,27.997089,24.903742,615.990102,969.42601,1249.134299,255.14266640000008,529.630716,747.969182,2425.67007,9900.0,3952.187215,51750.52074,51794.154858,168.299247,2730.783816,32520.829055,3335.165444,699.527749,1641.371759,253.913547,287.269287,244.219306
20.0,99480.830875,70.114242,28.016051,24.9341,615.994472,969.326234,1249.156705,255.61055660000002,529.713767,747.937413,2425.208681,9900.0,3949.11193,51690.989763,51752.881721,168.169574,2733.63367,32458.333239,3261.904549,695.976232,1641.539976,254.150744,287.160856,244.054024
21.0,99553.085956,70.158845,27.994096,24.888011,616.005766,969.487215,1249.20032,256.0817966,529.814782,747.903966,2425.301387,9900.0,3955.601993,51764.815376,51774.522207,168.422951,2738.434239,32389.521347,3273.949555,689.01814,1641.614641,254.272542,287.389088,243.814343
22.0,99510.778046,70.198738,27.972416,24.899349,615.998413,969.566565,1249.242534,256.54546400000004,529.93548,747.878256,2425.458823,9900.0,3960.836421,51812.328184,51849.45628,168.626287,2742.7556,32330.903552,3353.011507,684.894798,1641.832734,254.288751,287.570287,243.605841
23.0,99493.960183,70.185944,27.976492,24.884529,615.999746,969.543684,1249.293415,257.00353700000005,530.075598,747.857857,2425.25884,9900.0,3961.287601,51786.514244,51811.730111,168.638966,2744.746811,32265.794132,3282.823363,676.708494,1641.54332,254.204559,287.585986,243.327601
24.0,99406.648997,70.228035,27.99165,24.89913,616.003619,969.38719,1249.345495,257.46193760000006,530.235155,747.844204,2425.708207,9900.0,3956.652149,51684.839751,51719.304715,168.462406,2748.624632,32201.94781,3309.794378,670.846297,1641.294217,254.097531,287.426012,243.030302
25.0,99373.364438,70.25409,27.976947,24.886484,615.990845,969.483728,1249.401772,257.9082026000001,530.413129,747.833535,2424.887291,9900.0,3960.467395,51730.68459,51754.092926,168.611231,2751.636056,32132.797557,3389.711616,663.265494,1641.632821,253.928208,287.558088,242.675652
26.0,99256.133673,70.226984,27.994627,24.907848,615.996544,969.33057,1249.456172,258.3451022000001,530.60932,747.828125,2425.608,9900.0,3955.314763,51631.283155,51667.763026,168.413043,2752.332323,32066.437453,3320.828733,653.6838,1641.506547,253.775459,287.379696,242.315488
27.0,99170.664851,70.253577,27.98195,24.914257,615.995508,969.422962,1249.506395,258.7784144000001,530.822062,747.822026,2425.409681,9900.0,3957.391392,51676.899586,51709.227335,168.497714,2754.923249,31994.501868,3431.79378,645.754088,1640.94701,253.615449,287.451909,241.899932
28.0,99102.712947,70.204614,28.017159,24.906322,616.003695,969.191021,1249.561011,259.1947166,531.050434,747.817794,2426.136877,9900.0,3947.865015,51523.074017,51539.016192,168.131536,2754.353263,31925.423853,3333.162504,637.79308,1641.915152,253.506895,287.117918,241.483987
29.0,99035.738583,70.230726,27.966156,24.920239,616.011203,969.501447,1249.609612,259.6065764,531.292641,747.813871,2425.201268,9900.0,3959.176591,51701.795628,51729.614667,168.576368,2756.549198,31855.241105,3333.264224,627.518103,1641.516211,253.3676,287.513819,241.043967
30.0,99121.473053,70.259246,27.968727,24.862946,616.003592,969.440487,1249.680446,259.9969424000001,531.547341,747.810896,2425.806784,9900.0,3957.051253,51641.319637,51620.487185,168.506043,2758.686102,31787.932602,3382.091253,618.402806,1641.583338,253.156298,287.440674,240.607831
