Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
0.0,98209.19304,73.81048,27.989657,24.872156,616.087316,969.219457,1250.028315,245.29645400000007,529.706496,749.024524,2201.09097,9900.0,3848.523032,50583.886803,50574.034203,164.821191,2916.877113,26507.273591,3990.839004,710.753868,1630.2168,240.759651,280.21311,191.096932
1.0,98150.603432,73.393884,28.012343,24.885438,616.046221,969.024318,1250.032316,245.27743700000008,529.655759,748.737804,2201.408747,9900.0,3841.51522,50477.161456,50487.616608,164.552417,2853.007736,28654.195151,4067.315635,714.717009,1645.748175,248.968687,279.89717,205.363605
2.0,98151.798792,72.944258,27.996311,24.880811,616.006694,969.163097,1250.03858,245.5965212,529.548396,748.27135,2200.760856,9900.0,3846.767329,50559.020865,50557.873436,164.752564,2841.84946,28881.403711,3866.788899,717.87761,1646.568586,260.32709,280.134285,207.493406
3.0,98113.753218,72.656129,27.965501,24.893097,615.998672,969.32263,1250.045482,245.86958660000002,529.382579,747.658149,2200.58633,9900.0,3852.227213,50656.166871,50666.15796,164.974469,2884.21711,28857.141195,3735.289324,721.769512,1650.116845,274.272908,280.378573,207.988128
4.0,97990.909773,72.443505,27.991776,24.920502,616.00874,969.105143,1250.058793,245.9315174,529.157026,746.971673,2201.098588,9900.0,3844.269533,50525.981532,50545.836402,164.671193,2918.509377,28707.793066,3746.0152,729.711166,1653.8531,290.424721,280.022165,207.62069
5.0,97926.443354,72.204161,27.975275,24.930438,616.007403,969.245991,1250.080674,245.91564500000007,528.870472,746.237321,2200.731126,9900.0,3848.488496,50602.898883,50610.754792,164.836228,2921.559708,28491.083661,3676.30613,737.829731,1655.995583,308.321063,280.212069,206.737867
6.0,97888.887721,72.021606,28.009304,24.917693,616.010319,968.965146,1250.115901,245.95195820000006,528.52354,745.478434,2201.301135,9900.0,3835.912852,50423.677484,50407.245675,164.368123,2914.80285,28265.270104,3688.224983,745.978363,1658.930702,327.6508,279.643291,205.714677
7.0,97827.357814,71.84272,27.990907,24.931915,616.006078,969.087846,1250.14666,246.0266654,528.118143,744.710372,2200.976243,9900.0,3837.954159,50494.95237,50489.43475,164.457896,2918.384308,28047.407521,3586.584871,758.185952,1661.255179,348.061254,279.736499,204.676979
8.0,97908.821433,71.745064,28.019281,24.873409,615.992048,968.819194,1250.201962,246.06948740000004,527.657461,743.940166,2201.223945,9900.0,3825.592892,50312.457483,50252.286706,164.007273,2925.169938,27830.61398,3496.573783,769.334422,1663.182207,369.27024,279.168222,203.592488
9.0,97771.593371,71.717297,28.03663,24.917539,616.008264,968.656623,1250.234325,246.07484240000005,527.146493,743.178224,2200.907694,9900.0,3816.37964,50223.874154,50218.300585,163.665285,2931.362607,27619.387633,3615.533368,780.283467,1665.036801,391.131459,278.73656,202.491149
10.0,97836.833524,71.601275,28.011144,24.885434,615.997614,968.834399,1250.278688,246.05287160000006,526.589114,742.419494,2200.736297,9900.0,3818.898271,50309.275883,50255.360258,163.784342,2936.156317,27396.458049,3537.799405,792.645999,1666.997133,413.321142,278.855463,201.26812
11.0,97772.837342,71.5452,27.986946,24.913358,616.00328,968.981641,1250.311053,246.01117640000004,525.992259,741.672434,2200.153915,9900.0,3822.635067,50400.070059,50384.70535,163.936307,2930.264716,27189.41903,3534.390562,805.21951,1668.361744,435.653798,279.03019,200.105061
12.0,97753.267022,71.499929,28.044758,24.885541,615.996998,968.526904,1250.348966,245.9840450000001,525.361273,740.933795,2201.118234,9900.0,3801.716227,50118.010777,50075.701624,163.153406,2922.743084,26983.062302,3499.116488,817.274359,1670.45539,458.068598,278.037801,198.90961
13.0,97708.154635,71.490677,28.015066,24.910829,616.009143,968.768316,1250.372601,245.95993220000008,524.702169,740.20377,2200.882187,9900.0,3807.562752,50260.609589,50237.515075,163.38518,2919.763282,26788.848125,3506.295703,829.210348,1671.794001,480.389258,278.318153,197.762368
14.0,97744.589351,71.481431,28.012764,24.890408,616.007567,968.77157,1250.401947,245.91526340000001,524.020573,739.480512,2200.854365,9900.0,3804.509472,50251.031436,50204.782721,163.28411,2915.059479,26597.410636,3444.836615,840.514742,1673.026364,502.474277,278.172051,196.60683
15.0,97798.10145,71.524079,27.970193,24.872257,615.977911,968.979703,1250.429548,245.86081160000006,523.322576,738.768234,2199.997603,9900.0,3810.346781,50371.67339,50326.823319,163.532925,2912.905356,26416.022116,3461.031713,851.185777,1673.583335,524.157155,278.451099,195.492126
16.0,97781.482852,71.557977,27.992253,24.865528,615.992894,968.760209,1250.450371,245.78747240000004,522.613843,738.069259,2200.451347,9900.0,3799.320787,50239.838595,50205.23227,163.127454,2906.002265,26244.342997,3511.566935,861.519159,1675.547687,545.43499,277.921978,194.419936
17.0,97689.496602,71.560528,28.033901,24.888597,615.999942,968.49376,1250.458948,245.71540580000007,521.89885,737.380179,2200.80611,9900.0,3786.498349,50085.734649,50068.169386,162.636786,2898.546949,26074.945302,3565.721258,871.400934,1676.677688,566.356243,277.295584,193.343393
18.0,97635.192399,71.529257,27.970519,24.917781,616.012363,968.94684,1250.454094,245.64199820000002,521.181107,736.69374,2201.701346,9900.0,3800.10837,50354.205239,50346.674561,163.173028,2883.339549,25906.36994,3532.032447,869.325139,1677.39988,586.764338,277.959532,192.255882
19.0,97681.147127,71.53481,28.001891,24.880073,616.009195,968.731192,1250.462622,245.5894832000001,520.464598,736.014973,2200.916873,9900.0,3790.062312,50216.079923,50173.417865,162.795242,2872.836736,25746.197062,3493.659326,862.75224,1678.361296,606.63594,277.47074,191.20949
20.0,97587.893494,71.577718,28.006563,24.915898,615.997754,968.671066,1250.449799,245.52966740000008,519.753896,735.347354,2201.126003,9900.0,3785.408963,50195.583742,50194.245414,162.624914,2869.38588,25600.992339,3476.289887,857.674015,1678.774466,626.011386,277.241355,190.251616
21.0,97634.386715,71.636263,27.992081,24.896918,615.996603,968.806319,1250.443247,245.44312700000003,519.050828,734.684923,2200.411756,9900.0,3788.234552,50268.233802,50236.536023,162.740359,2861.849197,25450.474259,3525.714809,853.697004,1679.670426,644.792803,277.380663,189.247768
22.0,97615.207198,71.6629,28.019431,24.901704,615.979593,968.588026,1250.431656,245.3556092000001,518.356965,734.03325,2200.122246,9900.0,3778.714781,50145.861765,50125.104026,162.380865,2850.245556,25310.263731,3599.306856,850.528293,1680.156842,663.039644,276.909304,188.302384
23.0,97699.08249,71.642195,27.978605,24.886354,615.99908,968.905266,1250.422392,245.27944220000003,517.672162,733.388248,2201.100037,9900.0,3789.273524,50328.977526,50293.581642,162.791302,2839.220377,25172.411245,3582.867759,847.944849,1680.528226,680.623985,277.431591,187.363458
24.0,97768.117252,71.641032,27.982568,24.866788,615.996829,968.804074,1250.416553,245.20600940000003,516.99701,732.756021,2200.275619,9900.0,3784.651481,50269.903656,50231.997077,162.628744,2824.74409,25046.162012,3510.618061,845.778491,1680.107973,697.559215,277.204007,186.499855
25.0,97685.776541,71.704189,27.985465,24.904585,615.995316,968.767486,1250.394195,245.1450686,516.331626,732.136777,2200.734516,9900.0,3782.876499,50264.062957,50269.412994,162.559997,2819.525476,24926.186768,3494.844064,843.904328,1680.418556,713.914306,277.115777,185.664859
26.0,97716.559677,71.782141,27.990622,24.891696,615.997207,968.790401,1250.378754,245.06129300000003,515.67557,731.526037,2200.664822,9900.0,3782.564987,50272.942896,50251.886253,162.545277,2812.148334,24802.821513,3482.205521,842.224042,1680.046388,729.658471,277.100424,184.808455
27.0,97786.808933,71.87349,27.99043,24.866063,615.982051,968.751403,1250.365496,244.97432600000002,515.029519,730.925651,2200.57686,9900.0,3779.658154,50250.465812,50217.703929,162.446735,2797.815339,24686.76684,3578.459174,840.662993,1679.346407,744.779807,276.956124,183.993102
28.0,97713.942471,71.902096,27.985927,24.908315,615.987134,968.787446,1250.338267,244.90821200000008,514.394145,730.338132,2200.516712,9900.0,3781.28799,50287.500608,50297.36594,162.503753,2786.429605,24578.013,3600.165949,839.166858,1679.521799,759.339443,277.036749,183.22379
29.0,97693.141968,71.921668,27.981885,24.910221,616.007765,968.860964,1250.307027,244.84360640000008,513.769436,729.758344,2201.216935,9900.0,3781.83617,50332.998149,50336.636072,162.525916,2776.83782,24466.989207,3634.931508,837.690575,1678.361276,773.315548,277.063807,182.437313
