Time,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11
0.000000,58.577546,43.398483,47.437526,44.101855,25.846331,55.663043,46.800000,82.000000,53.700000,57.000000
1.000000,58.544726,43.292590,47.423844,49.130804,25.774187,55.616127,45.929653,81.439784,54.289889,58.023058
2.000000,58.539023,43.169504,47.402467,49.789062,25.713002,55.670349,46.034300,74.584128,55.307550,58.896550
3.000000,58.514940,43.267150,47.379810,49.545418,25.609480,55.428637,47.004952,65.927400,56.831618,60.128354
4.000000,58.516670,43.140370,47.378522,49.182833,25.518282,55.500826,47.793968,64.586667,58.718563,61.452896
5.000000,58.501052,43.111103,47.358189,48.982667,25.380924,55.458659,48.158263,64.479836,61.283847,62.925840
6.000000,58.489236,43.206898,47.331586,47.756232,25.220536,55.228667,48.036470,60.085808,64.287407,64.362161
7.000000,58.509081,43.369861,47.303714,47.052885,25.080927,54.915302,48.142835,55.773701,67.654171,65.828970
8.000000,58.487142,43.345582,47.273485,46.549131,24.925751,54.892275,48.312741,57.783995,71.408462,67.351025
9.000000,58.493970,43.516628,47.260439,46.458718,24.785747,54.632749,48.423035,56.405679,75.789844,68.891724
10.000000,58.497821,43.549193,47.247235,46.133290,24.618977,54.593959,48.334022,54.184466,80.416597,70.357307
11.000000,58.490468,43.601219,47.224875,45.346022,24.502346,54.543889,48.201964,50.393928,85.350220,71.854320
12.000000,58.501741,43.816601,47.216793,45.349346,24.374769,54.259114,48.156934,51.997662,90.440361,73.330327
13.000000,58.489184,43.731588,47.193336,44.827805,24.265470,54.428902,47.988620,49.922487,95.000000,74.834548
14.000000,58.504149,43.903418,47.166734,43.977639,24.205497,54.241715,47.830480,51.980072,95.000000,76.335748
15.000000,58.492098,44.065082,47.141143,43.349657,24.143408,54.078997,47.551640,54.105053,95.000000,77.809852
16.000000,58.493556,44.015214,47.146852,43.490378,24.103755,54.202614,47.217053,51.483721,95.000000,79.282424
17.000000,58.496492,44.099928,47.133264,42.680951,24.100117,54.171376,47.004135,51.454441,95.000000,80.762537
18.000000,58.514094,44.340236,47.126696,42.742752,24.099472,53.921164,46.820523,52.252723,95.000000,82.239531
19.000000,58.493023,44.195359,47.131335,42.378928,24.149252,54.225355,46.488720,53.451590,95.000000,83.731679
20.000000,58.500428,44.358104,47.122008,41.733023,24.164151,54.128120,46.141612,53.477731,95.000000,85.174539
21.000000,58.489549,44.220821,47.126351,41.692736,24.252674,54.389499,45.864752,51.021544,95.000000,86.659130
22.000000,58.497669,44.327522,47.137306,41.494160,24.330587,54.331289,45.538349,52.401862,95.000000,88.088879
23.000000,58.502675,44.354390,47.142959,41.360417,24.423398,54.402665,45.236631,55.407926,95.000000,89.543117
24.000000,58.501549,44.454214,47.130070,40.682780,24.501317,54.381536,44.859523,53.284030,95.000000,90.961400
25.000000,58.504214,44.494994,47.151652,40.544625,24.629391,54.404404,44.500601,52.630156,95.000000,92.461233
26.000000,58.483219,44.272258,47.159240,40.384158,24.766316,54.794114,44.245550,56.075198,95.000000,93.842586
27.000000,58.497420,44.267735,47.173627,40.265391,24.902848,54.888679,43.972502,52.079500,95.000000,95.000000
28.000000,58.508419,44.154235,47.175060,39.877704,25.071878,55.106615,43.597678,55.418037,95.000000,95.000000
29.000000,58.494731,44.237554,47.186608,39.595569,25.235759,55.036542,43.326154,58.842069,95.000000,95.000000
30.000000,58.503523,44.109583,47.194227,39.341626,25.420492,55.257035,42.933945,55.622978,95.000000,95.000000
31.000000,58.501383,43.757449,47.216875,39.245455,25.620567,55.767892,42.595405,60.565038,95.000000,95.000000
32.000000,58.497744,43.859729,47.230619,38.783124,25.842110,55.622000,42.363085,60.563570,95.000000,95.000000
33.000000,58.507394,43.596150,47.249938,38.799678,26.076802,55.972563,42.052116,60.245236,95.000000,95.000000
34.000000,58.513241,43.612161,47.267761,38.909207,26.283322,55.951290,41.780181,56.171671,95.000000,95.000000
35.000000,58.502097,43.349589,47.280488,38.424693,26.560604,56.324349,41.571727,60.529157,95.000000,95.000000
36.000000,58.500536,43.062100,47.291169,38.219032,26.818725,56.687463,41.196061,62.454364,95.000000,95.000000
37.000000,58.508379,42.894423,47.308212,38.015211,27.138826,56.856893,40.889166,61.104160,95.000000,95.000000
38.000000,58.481765,42.761882,47.322661,37.934211,27.448501,56.987812,40.645475,62.893002,95.000000,95.000000
39.000000,58.496885,42.714446,47.345839,37.973757,27.740460,57.005386,40.451264,61.417696,95.000000,95.000000
40.000000,58.495077,42.288413,47.364373,37.878028,28.113553,57.579941,40.256763,59.186677,95.000000,95.000000
41.000000,58.503271,42.245878,47.384909,37.615168,28.479242,57.565290,40.010168,62.624799,95.000000,95.000000
42.000000,58.482852,42.027928,47.401476,37.363525,28.892216,57.808357,39.709353,61.836936,95.000000,95.000000
43.000000,58.479397,41.860247,47.416325,37.298341,29.286413,57.971682,39.446607,61.205157,95.000000,95.000000
44.000000,58.498504,41.628122,47.427045,37.063761,29.736978,58.252499,39.148125,62.676725,95.000000,95.000000
45.000000,58.511175,41.359931,47.440918,36.780454,30.222529,58.560761,39.012357,65.507669,95.000000,95.000000
46.000000,58.498369,41.116801,47.467946,36.820919,30.730230,58.829494,38.888339,62.223848,95.000000,95.000000
47.000000,58.491019,40.749484,47.498296,37.048761,31.318340,59.309475,38.553260,65.582933,95.000000,95.000000
48.000000,58.504734,40.554732,47.519082,36.707409,31.913323,59.518172,38.288873,64.181524,95.000000,95.000000
49.000000,58.496527,40.363577,47.534857,36.480423,32.552846,59.686825,38.197536,62.599859,95.000000,95.000000
50.000000,58.494794,40.052916,47.546259,36.352944,33.246255,60.057533,38.042913,64.573379,95.000000,95.000000
51.000000,58.514081,39.803518,47.558751,36.037162,33.975896,60.332980,37.796258,67.229799,95.000000,95.000000
52.000000,58.513907,39.644919,47.592917,36.464611,34.722026,60.458255,37.577282,67.106470,95.000000,95.000000
53.000000,58.496992,39.491812,47.603635,36.017273,35.520060,60.638431,37.347841,65.040330,95.000000,95.000000
54.000000,58.512398,39.192645,47.617315,35.820290,36.404573,61.045537,37.276648,67.645237,95.000000,95.000000
55.000000,58.492000,39.077745,47.646808,36.053283,37.288175,61.131999,37.159181,68.776844,95.000000,95.000000
56.000000,58.491965,38.773145,47.666889,35.961077,38.302764,61.612450,36.877598,66.594613,95.000000,95.000000
57.000000,58.494516,38.578438,47.680918,35.669341,39.330318,61.855567,36.715218,65.713874,95.000000,95.000000
58.000000,58.483780,38.433588,47.691219,35.346706,40.400149,62.010613,36.664242,71.803564,95.000000,95.000000
59.000000,58.508443,38.292286,47.714880,35.500080,41.531526,62.172888,36.547439,71.670856,95.000000,95.000000
