Time,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11
0.000000,70.710786,44.334424,47.500939,44.174790,25.931346,55.746266,46.800000,82.000000,53.700000,57.000000
1.000000,70.716794,44.450003,47.508634,47.772395,25.841966,55.692186,46.090887,83.273186,53.774248,57.446621
2.000000,70.741824,44.769445,47.502739,48.429444,25.763639,55.365267,46.191251,78.559787,53.980167,57.538169
3.000000,70.757435,44.798941,47.525649,49.825838,25.747168,55.444648,47.029931,72.009284,54.054694,57.672273
4.000000,70.787389,44.945656,47.528527,49.271124,25.808235,55.415801,47.641166,71.562631,53.957320,57.784610
5.000000,70.776343,44.890423,47.552858,49.740545,25.949454,55.611489,47.950011,69.080257,54.174496,57.917290
6.000000,70.773600,45.016438,47.559959,49.338355,26.170070,55.607476,48.091677,67.983518,54.193141,58.076835
7.000000,70.765596,44.735269,47.586786,48.770976,26.454884,56.114362,48.252438,65.330632,54.462968,58.160420
8.000000,70.773053,44.657819,47.617969,49.047815,26.799569,56.324233,48.491994,64.342318,54.517688,58.308754
9.000000,70.778435,44.674725,47.652692,49.474106,27.170634,56.418474,48.882571,64.806747,54.873035,58.429180
10.000000,70.785373,44.402898,47.687280,49.168100,27.605062,56.902152,49.084308,60.547517,54.999299,58.586418
11.000000,70.787912,44.192288,47.730990,49.104776,28.043806,57.262794,49.093358,59.019170,55.275362,58.731962
12.000000,70.784576,44.195124,47.751380,48.584710,28.523833,57.300933,49.186508,59.841144,55.693117,58.833567
13.000000,70.768998,43.974938,47.797771,49.067397,29.028474,57.630035,49.354977,59.666267,55.948150,58.984845
14.000000,70.778599,43.717906,47.837647,49.122501,29.553687,58.026295,49.509316,60.402537,56.327767,59.049021
15.000000,70.775796,43.416419,47.878099,49.337023,30.077001,58.443053,49.580918,61.075028,56.420821,59.185086
16.000000,70.768303,43.260263,47.894653,48.984625,30.613349,58.636239,49.669232,61.710737,56.588382,59.243104
17.000000,70.784671,43.127420,47.930145,48.565349,31.176257,58.758822,49.753103,57.083763,57.056259,59.314194
18.000000,70.783548,42.757032,47.954152,48.868499,31.729587,59.221303,49.729549,60.151752,57.219244,59.371578
19.000000,70.772822,42.740291,47.985461,48.857304,32.275875,59.150371,49.802113,60.292210,57.731714,59.405447
20.000000,70.762719,42.421698,48.018830,49.018192,32.822621,59.534287,49.862922,59.165060,58.079754,59.457989
21.000000,70.782768,42.108984,48.037701,48.751742,33.405514,59.898925,49.885909,56.282202,58.214606,59.469306
22.000000,70.788492,41.947416,48.061966,48.732399,33.964490,59.991843,49.904210,60.028868,58.576453,59.455185
23.000000,70.769798,41.737843,48.073870,48.421910,34.543247,60.185246,49.940663,57.377175,58.779895,59.428973
24.000000,70.799867,41.617039,48.113004,49.385167,35.068734,60.204526,50.032322,56.669350,59.038637,59.434789
