Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
0.0,98237.293182,74.183694,28.036321,24.920813,615.731377,968.420404,1250.082632,245.33034440000003,529.706496,749.024524,2333.068853,9900.0,3833.100593,50625.812186,50507.530815,164.26815,2925.986403,26507.273482,4003.302234,710.706236,1629.870093,236.613514,279.364781,191.096932
1.0,98330.831822,74.189908,27.987088,24.888096,615.857409,968.61804,1250.277319,245.18910740000004,529.709378,749.013297,2332.05688,9900.0,3831.396198,50688.301654,50545.406242,164.270467,2882.944003,26744.833236,4104.585391,712.381888,1640.192347,237.053991,279.287651,192.691635
2.0,98187.118534,74.145376,27.978625,24.912048,615.907489,968.540439,1250.426802,245.29317620000003,529.710666,748.995786,2332.857964,9900.0,3820.461197,50630.240905,50568.604809,163.886946,2862.727462,26782.090749,4056.054847,712.267634,1637.816266,237.676782,278.777257,192.992442
3.0,98127.491747,74.153144,27.994924,24.892697,615.954758,968.429367,1250.497295,245.4219464,529.709061,748.949102,2333.578304,9900.0,3808.920306,50550.725705,50508.401179,163.456428,2877.719448,26817.30363,4136.939531,712.456404,1637.477813,238.458893,278.228772,193.28278
4.0,98118.956172,74.089921,27.993426,24.891248,615.974582,968.5015,1250.478687,245.43991580000005,529.704826,748.904428,2333.479367,9900.0,3808.743103,50603.53376,50598.791361,163.436307,2895.237254,26831.955191,4082.313344,711.430957,1637.863933,239.349825,278.217753,193.444281
5.0,98217.159708,74.055886,27.963927,24.87942,615.994664,968.798972,1250.382705,245.4005534000001,529.697793,748.861322,2333.22452,9900.0,3821.427159,50800.403174,50821.557407,163.893034,2897.081639,26823.850546,4117.222287,712.362817,1637.334709,240.229325,278.81537,193.447358
6.0,98204.580891,73.994021,28.001987,24.907944,616.004188,968.650461,1250.206603,245.3876906,529.68848,748.821261,2333.770668,9900.0,3820.669791,50760.34276,50846.926982,163.809073,2889.936595,26816.455277,4120.243606,712.844137,1638.270248,241.168853,278.777464,193.443951
7.0,98413.698544,73.935484,28.005392,24.882836,615.980755,968.834224,1249.986879,245.4155024,529.675409,748.777595,2332.852403,9900.0,3835.831784,50904.84128,50971.511899,164.321998,2885.995059,26806.867594,4037.014497,713.038366,1638.139268,242.070024,279.478642,193.421504
8.0,98536.209849,73.94475,27.999981,24.915634,616.004746,969.066214,1249.717184,245.44911380000005,529.659444,748.734134,2333.162792,9900.0,3856.854101,51103.28956,51224.788978,165.041748,2884.466097,26808.415423,4063.426615,713.801144,1638.484792,242.903962,280.423314,193.467929
9.0,98895.22734,73.936043,27.950414,24.875124,616.001909,969.587903,1249.432799,245.47731620000008,529.640043,748.690179,2333.403892,9900.0,3891.308524,51458.266589,51550.214861,166.282796,2892.365345,26802.900088,4059.963295,714.651507,1638.77589,243.478473,281.902148,193.467056
