Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
0.0,98701.374966,73.961025,28.031584,24.886982,563.709534,964.261865,1249.580363,245.32648700000004,529.706496,749.024524,816.0,9900.0,3801.902617,52454.30615,51860.202799,162.664979,2920.791822,26507.273482,3996.195066,710.712803,1629.886965,237.646717,292.289847,191.096932
1.0,100574.989294,73.710986,28.006818,24.92253,539.785479,962.709689,1248.613811,245.27850800000004,529.703609,748.979655,816.0,9900.0,3867.48983,54138.869119,53721.173947,164.885476,2867.401837,28044.393534,4037.947935,711.781209,1640.653114,240.549027,294.828396,201.295477
2.0,102453.299144,73.449948,27.995187,24.917401,531.006832,962.500152,1247.451128,245.52757580000005,529.68838,748.875534,816.0,9900.0,3935.788109,55156.139997,54894.495507,167.228549,2855.896458,28331.369634,3973.572228,714.066717,1639.444477,244.824105,297.064654,203.552273
3.0,104049.765584,73.245354,28.006459,24.908992,527.733208,962.722524,1246.250578,245.75449640000002,529.659908,748.699494,816.0,9900.0,3994.71208,55881.027086,55711.442536,169.24121,2897.398549,28459.062144,3931.455056,713.69534,1639.881877,250.165153,298.637469,204.777521
4.0,105492.962942,73.045871,27.99858,24.874839,526.504867,963.309545,1245.084213,245.78677760000005,529.617735,748.486283,816.0,9900.0,4053.214458,56602.642828,56460.621944,171.26997,2918.759559,28491.580061,3901.581126,715.401431,1641.002903,256.175729,299.853841,205.365863
5.0,106606.296934,72.856728,27.98633,24.891949,526.054787,963.95167,1243.94906,245.79825620000003,529.562501,748.247876,816.0,9900.0,4105.237307,57294.498731,57210.719072,173.075778,2916.761528,28476.766019,3885.563994,717.386504,1641.304319,262.558796,300.632248,205.604847
6.0,107620.893875,72.685145,28.014846,24.860338,525.869659,964.285987,1242.884169,245.8696820000001,529.493074,747.986018,816.0,9900.0,4143.667015,57738.81862,57654.689514,174.376436,2914.970843,28457.735025,3749.123452,718.785371,1643.356903,269.088868,301.016575,205.760083
7.0,108331.421385,72.624257,28.006436,24.913886,525.802605,964.88933,1241.841447,245.95783520000006,529.409198,747.708077,816.0,9900.0,4184.941006,58361.562169,58328.930592,175.804381,2926.310038,28441.71864,3744.917003,722.636649,1644.252741,275.594104,301.241732,205.940241
8.0,109139.106711,72.564082,28.017773,24.868645,525.779525,965.281297,1240.863946,246.0015878,529.30924,747.411841,816.0,9900.0,4217.89095,58806.604465,58744.329146,176.934227,2942.24653,28415.156359,3766.221112,724.15606,1644.631806,281.872201,301.277854,206.011905
9.0,109686.838812,72.481774,28.013699,24.903001,525.791614,965.727802,1239.902347,246.00289640000008,529.194038,747.111945,816.0,9900.0,4250.076864,59313.340624,59293.340303,178.043727,2949.44049,28393.169218,3809.865996,725.840226,1645.764577,287.833258,301.186307,206.084288
10.0,110254.492982,72.365911,27.997787,24.896723,525.779807,966.222335,1238.964743,246.006572,529.06282,746.808509,816.0,9900.0,4281.676381,59832.945668,59806.12451,179.14887,2947.194062,28361.52221,3665.669281,730.059134,1646.56285,293.33675,300.971238,206.071662
11.0,110753.411314,72.364624,28.006594,24.885348,525.779331,966.484159,1238.048897,246.03470960000007,528.91642,746.507734,816.0,9900.0,4306.593404,60205.960791,60183.356243,179.996503,2950.147044,28340.582675,3671.186265,732.882991,1647.120361,298.330598,300.711911,206.106484
12.0,111158.908036,72.361479,28.034433,24.875684,525.780301,966.5816,1237.147202,246.04958660000005,528.755318,746.213801,816.0,9900.0,4325.424093,60472.898185,60458.005084,180.612449,2952.26152,28325.180852,3726.617747,737.497321,1646.906069,302.822938,300.462236,206.161055
