Time,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11
0.000000,23.750000,46.135893,47.624145,44.071400,26.286025,56.237122,46.800000,82.000000,53.700000,57.000000
1.000000,23.750000,48.049008,47.867507,42.822343,27.237860,56.903476,46.089693,90.165603,53.907929,57.490213
2.000000,23.750000,49.272196,48.104817,42.478441,28.447263,57.665370,45.544803,90.486051,54.111104,57.680175
3.000000,23.750000,50.047106,48.316120,42.239583,29.753246,58.488650,45.521276,93.504615,54.450852,57.926281
4.000000,23.750000,50.587094,48.503436,41.966142,31.148972,59.275256,45.516390,91.939779,54.437426,58.264601
5.000000,23.750000,51.021265,48.677169,41.871542,32.576933,59.953854,45.504673,93.944380,54.845454,58.552693
6.000000,23.750000,51.366295,48.849125,41.983538,34.051333,60.575455,45.311825,95.000000,55.299818,58.973809
7.000000,23.750000,51.623455,48.997153,41.759826,35.532126,61.171483,45.062894,92.889498,55.887815,59.360799
8.000000,23.750000,51.925337,49.139404,41.746272,37.025591,61.576669,44.982847,94.450025,56.174035,59.786633
9.000000,23.750000,52.296219,49.276509,41.628053,38.583908,61.818210,44.976349,95.000000,57.105936,60.221504
10.000000,23.750000,52.480513,49.412357,41.592126,40.167639,62.209435,44.914101,95.000000,57.804643,60.596488
11.000000,23.750000,52.667602,49.549826,41.554281,41.820519,62.516541,44.743139,95.000000,58.817577,61.017157
12.000000,23.750000,52.641321,49.684724,41.888725,43.548718,63.023695,44.494430,95.000000,59.811842,61.457858
13.000000,23.750000,52.772610,49.790855,41.489728,45.329621,63.288073,44.485830,95.000000,60.632464,61.815955
14.000000,23.750000,52.792420,49.927181,41.831282,47.214523,63.610971,44.375165,95.000000,61.931396,62.229699
15.000000,23.750000,53.007804,50.033159,41.501400,49.178353,63.691859,44.319982,95.000000,63.222350,62.593136
16.000000,23.750000,53.066690,50.144908,41.425266,51.235059,63.923638,44.175405,95.000000,64.247657,62.992666
17.000000,23.750000,53.130248,50.261117,41.257259,53.436466,64.127992,43.911899,95.000000,65.453888,63.321417
18.000000,23.750000,53.084717,50.384417,41.558006,55.713029,64.443822,43.838586,95.000000,66.911392,63.650777
19.000000,23.750000,53.346032,50.493253,41.818578,58.087527,64.410431,43.817805,95.000000,68.096307,63.927722
20.000000,23.750000,53.277400,50.596165,41.220206,60.640620,64.765256,43.669434,95.000000,69.472263,64.200287
21.000000,23.750000,53.446350,50.695895,41.283787,63.299996,64.809026,43.570000,95.000000,70.973611,64.435484
22.000000,23.750000,53.643467,50.806708,41.339393,66.070542,64.847958,43.538694,95.000000,72.253617,64.738402
23.000000,23.750000,53.736391,50.920534,41.562104,68.954094,65.026408,43.360539,95.000000,73.456996,64.984271
24.000000,23.750000,53.809597,51.033282,41.585678,72.015647,65.250471,43.316742,95.000000,74.739097,65.206385
25.000000,23.750000,54.042150,51.133343,41.305730,75.165910,65.285212,43.238674,95.000000,76.007539,65.399832
26.000000,23.750000,54.251267,51.252567,41.618490,78.462276,65.349319,43.224861,95.000000,77.163541,65.549320
27.000000,23.750000,54.354765,51.351877,41.314775,81.945097,65.578526,43.154519,95.000000,78.304357,65.756591
28.000000,23.750000,54.564310,51.479006,41.887322,85.530022,65.689913,43.114523,95.000000,79.179012,65.901995
29.000000,23.750000,54.871665,51.575063,41.487164,89.257086,65.719226,42.979346,95.000000,80.248059,66.052124
30.000000,23.750000,55.315958,51.676395,41.445880,93.115363,65.584534,42.900886,95.000000,81.147367,66.173717
31.000000,23.750000,55.458396,51.785918,41.277663,95.000000,65.845875,42.946288,95.000000,81.992338,66.309849
32.000000,23.750000,55.897251,51.900702,41.475957,95.000000,65.790203,42.890398,95.000000,82.727315,66.460182
33.000000,23.750000,56.365281,52.011271,41.648651,95.000000,65.740410,42.808250,95.000000,83.276974,66.606036
34.000000,23.750000,56.954458,52.126493,41.850720,95.000000,65.596540,42.839810,95.000000,84.036693,66.718012
35.000000,23.750000,57.313155,52.223662,41.344248,95.000000,65.785246,42.807412,95.000000,84.457650,66.862748
36.000000,23.750000,57.796339,52.335962,41.511898,95.000000,65.824659,42.796857,95.000000,84.956643,67.032738
37.000000,23.750000,58.566299,52.435485,41.272089,95.000000,65.572077,42.765388,95.000000,85.306548,67.145690
38.000000,23.750000,59.123616,52.571732,41.693967,95.000000,65.636619,42.563611,95.000000,85.777835,67.316417
39.000000,23.750000,59.680025,52.676114,41.320303,95.000000,65.759309,42.570649,95.000000,85.991726,67.450469
40.000000,23.750000,60.261199,52.800826,41.386957,95.000000,65.859288,42.739320,95.000000,86.211238,67.624290
41.000000,23.750000,61.150198,52.918948,41.388829,95.000000,65.651565,42.679106,95.000000,86.325549,67.862313
42.000000,23.750000,61.903364,53.040884,41.441701,95.000000,65.659224,42.584859,95.000000,86.606745,68.045511
