Time,LIR100,LIR120,PIR110,PIR120,TIR100,TIR101,TIR110,TIR120,TIR121,TIR122,FIR100,FIR101,FIR110,FIR111,FIR112,FIR113,FIR120,FIR121,FIR122,FIR123,FIR124,FIR125,IIR110,IIR120
0.0,97722.258981,73.920493,28.004406,24.896357,643.468819,970.469052,1250.117622,245.332904,529.706496,749.024524,3264.0,9900.0,3831.107056,49391.967967,49760.676989,164.216307,2919.946059,26507.27355,3995.037902,710.700829,1629.84823,236.001003,280.948885,191.096932
1.0,96754.321463,73.62217,27.993244,24.882953,655.339365,971.490534,1250.506437,245.3133326,529.713846,749.03805,3264.0,9900.0,3805.08485,48663.557586,48852.42621,163.369423,2871.612424,28350.136585,4007.96329,712.084156,1640.162059,235.105855,279.747817,203.280065
2.0,95703.27477,73.32807,28.012686,24.905349,659.592015,971.41768,1250.974277,245.57535320000005,529.725162,749.070548,3264.0,9900.0,3759.623382,48071.01057,48126.898083,161.791121,2863.216694,28790.331549,3954.544464,711.080521,1636.462044,233.78692,277.522441,206.565853
3.0,94859.205286,73.078049,27.974075,24.893663,661.15342,971.364398,1251.440333,245.81315300000009,529.739583,749.097238,3264.0,9900.0,3725.514794,47771.837382,47709.652553,160.660959,2892.987354,29020.249696,3985.481809,712.344991,1635.711528,232.117468,275.755921,208.504759
4.0,93983.102301,72.786494,28.00217,24.913961,661.734423,970.660336,1251.847344,245.9069690000001,529.757775,749.14852,3264.0,9900.0,3670.111526,47223.155287,47123.872951,158.71318,2923.644876,29139.448006,3796.651292,711.430877,1635.581301,230.386434,272.714884,209.712592
5.0,93428.817872,72.619555,28.010406,24.846988,661.952954,970.062933,1252.200761,245.93048060000007,529.778198,749.209289,3264.0,9900.0,3618.262127,46769.227346,46560.442931,156.916289,2936.007913,29182.892895,3845.392847,710.893965,1636.125009,228.708902,269.686205,210.39994
6.0,92695.524998,72.412735,27.983974,24.915998,662.033616,969.750633,1252.452511,245.97798440000005,529.801962,749.278384,3264.0,9900.0,3583.146414,46555.48131,46415.365181,155.718581,2930.522352,29207.108454,3734.889278,709.608947,1635.152064,227.255301,267.536893,210.919967
7.0,92215.414097,72.300016,27.992112,24.875478,662.060476,969.277247,1252.639035,246.0896150000001,529.827033,749.341588,3264.0,9900.0,3539.956252,46234.886525,46039.510597,154.214487,2934.836306,29205.279484,3711.854525,708.172255,1635.586417,226.086442,264.791591,211.24233
8.0,91740.595721,72.209758,28.024774,24.877062,662.074532,968.596465,1252.739038,246.19200440000003,529.854312,749.403295,3264.0,9900.0,3490.227458,45832.600653,45662.476292,152.452574,2953.114167,29209.135145,3774.468187,709.327171,1636.164591,225.364812,261.497358,211.57178
9.0,91328.910665,72.067586,28.024697,24.914481,662.089061,968.394894,1252.759794,246.24119300000007,529.882472,749.452421,3264.0,9900.0,3463.368556,45721.345478,45586.302519,151.514383,2961.001462,29192.317567,3693.626398,707.581442,1635.023822,225.123887,259.655055,211.744857
