Time,V1,V2,V3,V4,V6,V7,V8,V9,V10,V11
0.000000,95.000000,42.732622,47.436241,44.026706,25.792413,55.853957,46.800000,82.000000,53.700000,57.000000
1.000000,95.000000,42.034939,47.308251,43.667798,25.390904,55.263052,46.108991,85.958531,53.864653,57.407473
2.000000,95.000000,41.479459,47.193017,44.226355,24.829159,54.905209,45.726792,88.521390,53.876475,57.369746
3.000000,95.000000,41.336395,47.077399,44.253292,24.241212,54.263724,45.943552,86.070191,53.644300,57.399860
4.000000,95.000000,41.301047,46.961090,44.108676,23.707148,53.642140,46.241030,88.602025,53.551420,57.414197
5.000000,95.000000,41.285530,46.862499,44.552871,23.205661,53.127722,46.230349,87.370372,53.585655,57.357359
6.000000,95.000000,41.670526,46.743585,44.247278,22.747777,52.206352,46.051488,86.826714,53.459470,57.281229
7.000000,95.000000,41.712531,46.653530,44.492882,22.378268,51.875171,46.020299,87.353683,53.329611,57.228318
8.000000,95.000000,42.030260,46.561647,44.483446,22.084120,51.268739,46.118147,86.102650,53.100286,57.168218
9.000000,95.000000,41.998980,46.501729,44.695763,21.822067,51.223128,46.187867,84.257348,52.942691,57.123851
10.000000,95.000000,42.303230,46.419707,44.095285,21.658838,50.794492,46.186348,87.111688,52.616388,57.119684
11.000000,95.000000,42.491071,46.335811,43.538527,21.554808,50.560324,46.094016,85.328216,52.458349,57.101128
12.000000,95.000000,42.740854,46.292055,44.240704,21.476993,50.305019,46.048517,85.031053,52.345312,57.152164
13.000000,95.000000,42.774629,46.257738,44.571584,21.421755,50.432671,46.109633,85.631335,52.271110,57.163711
14.000000,95.000000,42.966710,46.225217,44.178572,21.409590,50.377567,46.238834,86.114945,51.929391,57.192889
15.000000,95.000000,43.150423,46.179332,43.979660,21.421353,50.321022,46.231081,86.844544,52.029794,57.235585
16.000000,95.000000,43.269179,46.149365,43.916063,21.476091,50.365098,46.044215,87.506846,51.811920,57.371507
17.000000,95.000000,43.187962,46.136478,43.811978,21.513302,50.662870,46.155238,89.638658,51.631441,57.382606
18.000000,95.000000,43.621112,46.110010,44.046284,21.589283,50.326602,46.124808,85.822747,51.628401,57.517528
19.000000,95.000000,43.445755,46.108822,44.170441,21.633647,50.769320,46.174229,87.523085,51.600085,57.576603
20.000000,95.000000,43.624769,46.086951,43.804329,21.703889,50.752511,46.203405,86.251523,51.308554,57.729671
21.000000,95.000000,43.589486,46.069428,44.118621,21.761104,50.982723,46.201437,91.430774,51.715925,57.808845
22.000000,95.000000,43.617914,46.060644,43.781769,21.849916,51.138334,46.161262,89.708066,51.652964,57.910036
23.000000,95.000000,43.757290,46.056620,44.429990,21.908083,51.105709,46.109545,88.579665,51.729270,58.041598
24.000000,95.000000,43.846905,46.027880,44.061333,21.950084,51.192306,46.144652,84.192945,51.796648,58.177419
25.000000,95.000000,43.910898,46.027922,44.214625,22.038400,51.256392,46.234341,83.832202,52.038087,58.258736
26.000000,95.000000,43.908249,46.022572,43.874209,22.096646,51.416186,46.228657,85.656979,52.408082,58.398479
27.000000,95.000000,44.064768,46.006128,44.394821,22.157560,51.333428,46.063300,87.124943,52.602381,58.517339
28.000000,95.000000,43.904860,46.002484,44.172600,22.226794,51.699855,46.043251,86.214691,52.761266,58.621757
29.000000,95.000000,44.019259,45.993031,44.358448,22.255457,51.664162,46.018339,89.056545,53.100910,58.756204
30.000000,95.000000,44.016370,45.977380,43.937525,22.330437,51.783232,46.152209,88.181549,53.420924,58.891648
31.000000,95.000000,44.090534,45.958907,43.894708,22.370973,51.772649,46.048098,87.325969,53.834390,58.965476
32.000000,95.000000,44.001687,45.951197,43.920937,22.419897,51.957196,46.042869,86.441808,54.246580,59.129857
33.000000,95.000000,44.243704,45.932354,44.010369,22.453729,51.738778,45.956589,88.052478,54.611354,59.184062
34.000000,95.000000,43.994499,45.939763,44.002268,22.500344,52.132321,45.991543,86.828527,55.248240,59.336428
35.000000,95.000000,44.106872,45.902803,43.481652,22.521936,52.060522,46.000532,86.892627,55.538862,59.460745
36.000000,95.000000,44.009186,45.914394,44.409804,22.543891,52.208301,45.969267,85.046976,56.046944,59.558481
37.000000,95.000000,43.982257,45.887959,43.523392,22.579109,52.335076,45.941617,91.801014,56.381499,59.622230
38.000000,95.000000,44.108214,45.871338,43.884084,22.593269,52.178218,45.930435,87.627920,56.874819,59.725367
39.000000,95.000000,44.086556,45.871503,44.292791,22.587931,52.252499,45.842287,85.776437,57.454722,59.859738
40.000000,95.000000,44.073972,45.862485,44.204983,22.614934,52.323579,45.888273,87.769428,57.821836,59.885376
41.000000,95.000000,44.272660,45.839315,44.266660,22.601243,52.117635,45.956281,90.387497,58.254434,59.977972
42.000000,95.000000,44.113864,45.822780,43.902998,22.612075,52.368808,45.855358,84.683156,58.657576,60.050549
43.000000,95.000000,44.266097,45.810094,43.971113,22.629634,52.214566,45.829993,83.762344,59.132827,60.139801
44.000000,95.000000,44.207706,45.790800,43.651410,22.641074,52.331362,45.803387,89.359481,59.546297,60.253486
45.000000,95.000000,44.291686,45.769763,43.484018,22.657970,52.244215,45.857442,90.219988,59.957210,60.281371
46.000000,95.000000,44.467652,45.757745,43.993083,22.662452,52.064687,45.800795,87.563369,60.217166,60.398200
47.000000,95.000000,44.119210,45.768096,44.037304,22.662347,52.581645,45.710272,88.275838,60.593560,60.469777
48.000000,95.000000,44.410615,45.736807,43.731553,22.645011,52.253991,45.796242,85.621286,60.942877,60.519568
49.000000,95.000000,44.331380,45.755817,44.906422,22.654417,52.373532,45.766149,86.133004,61.258038,60.604777
